sample.id	user_genome	Kingdom	Phylum	Class	Order	Family	Genus	Species	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings	BinLab
DonA	bin_111	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor		N/A	N/A	N/A	N/A	N/A	GCA_900549795.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp900549795	79.3	0.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000508885.1, s__Flavonifractor sp000508885, 95.0, 80.44, 0.27; GCF_002161215.1, s__Flavonifractor sp002161215, 95.0, 80.27, 0.44; GCF_000239295.1, s__Flavonifractor plautii, 95.0, 80.03, 0.41; GCF_002159455.1, s__Flavonifractor sp002159455, 95.0, 80.02, 0.38; GCF_900626285.1, s__Flavonifractor massiliensis_A, 95.0, 79.95, 0.37; GCF_002159265.1, s__Flavonifractor sp002159265, 95.0, 79.69, 0.38; GCA_900549565.1, s__Flavonifractor sp900549565, 95.0, 79.53, 0.39; GCF_002161085.1, s__Flavonifractor sp002161085, 95.0, 79.35, 0.35; GCF_002159175.1, s__Flavonifractor sp002159175, 95.0, 79.19, 0.31; GCF_900199495.1, s__Flavonifractor sp900199495, 95.0, 78.8, 0.27	90.87	11	0.9562594001835366	N/A	DonA_bin_111
DonA	bin_112	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes		N/A	N/A	N/A	N/A	N/A	GCA_900553175.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900553175	80.51	0.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002428825.1, s__Alistipes sp002428825, 95.0, 79.07, 0.47; GCF_900083545.1, s__Alistipes sp900083545, 95.0, 78.77, 0.49; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 78.74, 0.51; GCA_900544265.1, s__Alistipes sp900544265, 95.0, 78.71, 0.47; GCA_002358415.1, s__Alistipes sp002358415, 95.0, 78.59, 0.42; GCF_000210575.1, s__Alistipes shahii, 95.0, 78.59, 0.53; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 78.55, 0.48; GCF_006542685.1, s__Alistipes sp006542685, 95.0, 78.44, 0.44; GCF_900107675.1, s__Alistipes timonensis, 95.0, 78.39, 0.49; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 78.38, 0.46; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 78.38, 0.39; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 78.33, 0.44; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 78.32, 0.44; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 78.23, 0.4; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 78.16, 0.43; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 78.12, 0.35; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 78.12, 0.39; GCF_900604385.1, s__Alistipes sp002159375, 95.0, 78.07, 0.46; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 77.52, 0.25; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 77.52, 0.37; GCF_000154465.1, s__Alistipes putredinis, 95.0, 77.26, 0.19; GCF_000311925.1, s__Alistipes obesi, 95.0, 77.21, 0.26; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 77.13, 0.18; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 76.83, 0.13; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 76.79, 0.19; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 76.62, 0.16; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 76.32, 0.1; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 76.14, 0.11; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 75.44, 0.06	41.98	11	0.9894662466027397	N/A	DonA_bin_112
DonA	bin_113	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__	ANI	N/A	GCF_000403295.1, s__Schaedlerella sp000403295, 95.0, 77.29, 0.09; GCA_004556565.1, s__Schaedlerella sp004556565, 95.0, 77.25, 0.05; GCF_000364245.1, s__Schaedlerella sp000364245, 95.0, 77.22, 0.12; GCA_002320245.1, s__Schaedlerella sp002320245, 95.0, 77.2, 0.08; GCF_003480425.1, s__Schaedlerella sp900066545, 95.0, 77.03, 0.05; GCF_001311035.1, s__Schaedlerella glycyrrhizinilyticum, 95.0, 76.93, 0.08	92.86	11	0.9595578543738765	N/A	DonA_bin_113
DonA	bin_114	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella sp000364245	GCF_000364245.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000364245	98.09	0.82	GCF_000364245.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000364245	98.09	0.82	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000403295.1, s__Schaedlerella sp000403295, 95.0, 86.23, 0.6; GCA_002320245.1, s__Schaedlerella sp002320245, 95.0, 77.8, 0.15; GCF_001311035.1, s__Schaedlerella glycyrrhizinilyticum, 95.0, 77.73, 0.17; GCF_003480425.1, s__Schaedlerella sp900066545, 95.0, 77.65, 0.08; GCA_004556565.1, s__Schaedlerella sp004556565, 95.0, 77.23, 0.09	89.58	11	N/A	N/A	DonA_bin_114
DonA	bin_116	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__	ANI	N/A	GCA_002435545.1, s__Eubacterium_F sp002435545, 95.0, 77.32, 0.18; GCA_002490465.1, s__Eubacterium_F sp002490465, 95.0, 77.18, 0.07; GCA_002362575.1, s__Eubacterium_F sp002362575, 95.0, 77.18, 0.06; GCA_900539115.1, s__Eubacterium_F sp900539115, 95.0, 77.08, 0.17; GCA_002431395.1, s__Eubacterium_F sp002431395, 95.0, 77.02, 0.17; GCA_003453515.1, s__Eubacterium_F sp003453515, 95.0, 76.89, 0.01; GCA_000434115.1, s__Eubacterium_F sp000434115, 95.0, 76.75, 0.16; GCF_003477605.1, s__Eubacterium_F sp003491505, 95.0, 76.73, 0.07; GCA_900319095.1, s__Eubacterium_F sp900319095, 95.0, 76.36, 0.05; GCA_000433735.1, s__Eubacterium_F sp000433735, 95.0, 76.12, 0.07; GCF_000687695.1, s__Eubacterium_F sp000687695, 95.0, 75.82, 0.03; GCF_000518685.1, s__Eubacterium_F xylanophilum, 95.0, 75.78, 0.04; GCA_900318295.1, s__Eubacterium_F sp900318295, 95.0, 75.67, 0.03	38.63	11	0.9349853920870852	N/A	DonA_bin_116
DonA	bin_117	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp000403455	GCF_000403455.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp000403455	98.86	0.92	GCF_000403455.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp000403455	98.86	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900240315.1, s__Dorea sp900240315, 95.0, 77.67, 0.13; GCF_004295125.1, s__Dorea scindens, 95.0, 77.5, 0.19; GCF_000509125.1, s__Dorea sp000509125, 95.0, 77.42, 0.19; GCF_000403475.2, s__Dorea sp000403475, 95.0, 77.32, 0.15; GCF_003435815.1, s__Dorea sp000433215, 95.0, 77.27, 0.1; GCF_000156515.1, s__Dorea hylemonae, 95.0, 77.19, 0.13; GCA_002492335.1, s__Dorea sp002492335, 95.0, 77.18, 0.14; GCF_001404875.1, s__Dorea longicatena_B, 95.0, 77.05, 0.1; GCF_900312975.1, s__Dorea sp900312975, 95.0, 77.0, 0.14; GCA_900543415.1, s__Dorea sp900543415, 95.0, 76.99, 0.12; GCF_001754075.1, s__Dorea faecis, 95.0, 76.98, 0.13; GCF_003477705.1, s__Dorea sp900066555, 95.0, 76.89, 0.08; GCF_004345005.1, s__Dorea muris, 95.0, 76.88, 0.14; GCA_900553355.1, s__Dorea sp900553355, 95.0, 76.87, 0.14; GCA_000433535.1, s__Dorea sp000433535, 95.0, 76.84, 0.13; GCA_900550865.1, s__Dorea sp900550865, 95.0, 76.71, 0.14; GCF_900120345.1, s__Dorea phocaeensis, 95.0, 76.7, 0.08; GCF_000154065.1, s__Dorea longicatena, 95.0, 76.69, 0.12; GCF_002160985.1, s__Dorea sp002160985, 95.0, 76.65, 0.08; GCF_001185345.1, s__Dorea sp001185345, 95.0, 76.55, 0.1; GCA_900543315.1, s__Dorea sp900543315, 95.0, 76.43, 0.08; GCA_900066765.1, s__Dorea sp900066765, 95.0, 76.41, 0.1; GCF_000169235.1, s__Dorea formicigenerans, 95.0, 76.39, 0.08; GCF_000765215.1, s__Dorea sp000765215, 95.0, 76.38, 0.09	70.48	11	N/A	N/A	DonA_bin_117
DonA	bin_119	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475		N/A	N/A	N/A	N/A	N/A	GCA_004560375.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__UBA9475 sp004560375	84.83	0.54	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__	taxonomic classification defined by topology and ANI	N/A	GCF_002161675.1, s__UBA9475 sp002161675, 95.0, 80.31, 0.37; GCF_002161235.1, s__UBA9475 sp002161235, 95.0, 79.63, 0.28; GCA_900549885.1, s__UBA9475 sp900549885, 95.0, 79.33, 0.31; GCA_003534045.1, s__UBA9475 sp003534045, 95.0, 78.9, 0.37; GCA_900554075.1, s__UBA9475 sp900554075, 95.0, 78.17, 0.26	78.12	11	0.9699450616134678	N/A	DonA_bin_119
DonA	bin_12	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	ANI	N/A	GCA_900548975.1, s__CAG-873 sp900548975, 95.0, 78.12, 0.24; GCA_900541865.1, s__CAG-873 sp900541865, 95.0, 77.91, 0.24; GCA_004552485.1, s__CAG-873 sp004552485, 95.0, 77.86, 0.23; GCA_002493945.1, s__CAG-873 sp002493945, 95.0, 77.8, 0.28; GCA_900550395.1, s__CAG-873 sp900550395, 95.0, 77.71, 0.18; GCA_004553485.1, s__CAG-873 sp004553485, 95.0, 77.56, 0.2; GCA_900554265.1, s__CAG-873 sp900554265, 95.0, 77.38, 0.2; GCA_900555715.1, s__CAG-873 sp900555715, 95.0, 77.33, 0.17; GCA_002490635.1, s__CAG-873 sp002490635, 95.0, 77.18, 0.15; GCA_001689665.1, s__CAG-873 sp001689665, 95.0, 77.17, 0.2; GCA_003979155.1, s__CAG-873 sp003979155, 95.0, 77.08, 0.1; GCA_900554715.1, s__CAG-873 sp900554715, 95.0, 77.03, 0.16; GCA_004552725.1, s__CAG-873 sp004552725, 95.0, 77.02, 0.11; GCA_001689415.1, s__CAG-873 sp001689415, 95.0, 77.01, 0.17; GCA_002491245.1, s__CAG-873 sp002491245, 95.0, 76.93, 0.14; GCA_001701165.1, s__CAG-873 sp001701165, 95.0, 76.89, 0.09; GCA_002633115.1, s__CAG-873 sp002633115, 95.0, 76.83, 0.14; GCA_004554255.1, s__CAG-873 sp004554255, 95.0, 76.78, 0.1; GCA_002478045.1, s__CAG-873 sp002478045, 95.0, 76.58, 0.1; GCA_900540625.1, s__CAG-873 sp900540625, 95.0, 76.53, 0.1	84.21	11	0.9553673454574039	N/A	DonA_bin_12
DonA	bin_120	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea		N/A	N/A	N/A	N/A	N/A	GCF_003477705.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp900066555	77.41	0.16	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000765215.1, s__Dorea sp000765215, 95.0, 77.82, 0.03; GCF_900120345.1, s__Dorea phocaeensis, 95.0, 77.58, 0.05; GCA_900066765.1, s__Dorea sp900066765, 95.0, 77.55, 0.16; GCF_000403475.2, s__Dorea sp000403475, 95.0, 77.52, 0.09; GCF_002160985.1, s__Dorea sp002160985, 95.0, 77.47, 0.06; GCF_001185345.1, s__Dorea sp001185345, 95.0, 77.44, 0.05; GCF_900240315.1, s__Dorea sp900240315, 95.0, 77.39, 0.09; GCF_000154065.1, s__Dorea longicatena, 95.0, 77.16, 0.05; GCF_000403455.2, s__Dorea sp000403455, 95.0, 77.16, 0.1; GCF_000156515.1, s__Dorea hylemonae, 95.0, 77.13, 0.06; GCF_001754075.1, s__Dorea faecis, 95.0, 77.12, 0.09; GCF_004295125.1, s__Dorea scindens, 95.0, 76.95, 0.08; GCA_900553355.1, s__Dorea sp900553355, 95.0, 76.89, 0.06; GCF_000169235.1, s__Dorea formicigenerans, 95.0, 76.89, 0.06; GCA_002492335.1, s__Dorea sp002492335, 95.0, 76.81, 0.07; GCF_001404875.1, s__Dorea longicatena_B, 95.0, 76.81, 0.05; GCA_900543415.1, s__Dorea sp900543415, 95.0, 76.78, 0.09; GCF_003435815.1, s__Dorea sp000433215, 95.0, 76.72, 0.06; GCA_000433535.1, s__Dorea sp000433535, 95.0, 76.64, 0.09; GCF_900312975.1, s__Dorea sp900312975, 95.0, 76.58, 0.07; GCA_900543315.1, s__Dorea sp900543315, 95.0, 76.54, 0.08; GCA_900550865.1, s__Dorea sp900550865, 95.0, 76.54, 0.06; GCF_000509125.1, s__Dorea sp000509125, 95.0, 76.22, 0.11; GCF_004345005.1, s__Dorea muris, 95.0, 76.0, 0.08	37.6	11	0.9600637793198993	N/A	DonA_bin_120
DonA	bin_121	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1872		N/A	N/A	N/A	N/A	N/A	GCA_900555795.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__UMGS1872 sp900555795	79.44	0.35	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900549475.1, s__UMGS1872 sp900549475, 95.0, 79.21, 0.34	54.68	11	0.9484607110816397	N/A	DonA_bin_121
